0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
6109,VIDRIOS PIAZZE,DE VIDPIA S.A.I.C.F.,30-51897048-4,RIVERA INDARTE 458,5000,CORDOBA,4,(0351)4221227/4227053/421973,,ARGENTINA,,IN,904-230329-5,0,0,0,,202,2
6110,TRANSP.SPACAPAN,,30-54041480-3,LOS PATOS 3196,1437,CAPITAL,1,,,ARGENTINA,,IN,902-874541-3,0,0,0,,202,2
6111,FABRIPACK S.A.,ARTICULOS DE EMBALAJE,30-65679887-0,AVDA.CORRIENTES 3651,1194,CAPITAL FEDERAL,1,4864-8267*FAX: 4865-1868,,ARGENTINA,,IN,865648-07,0,0,0,,0,0
6112,ULTRAMAR ARGENTINA S.A.,,30-58534342-7,25 DE MAYO 555-PISO 20,1002,CAPITAL FEDERAL,1,(54-11) 4310-2480 al 2489-FAX:4310-2488,,ARGENTINA,,IN,901-937029-1,0,0,0,,0,0
6113,F.I.N. SPOLKA AKCYJNA,,,UL. HANDLOWA 2a.,0,36-100 KOLBUSZOWA-POLONIA,25,NIP. 814-14-08-345,,POLONIA,,XE,,0,0,0,,202,2
6114,PEUGEOT VEHIPOLE S.A.,CONCESIONARIO OFICIAL,30-70724741-6,TUCUMAN 3657,1189,CAPITAL FEDERAL,1,4864-3553,,ARGENTINA,,IN,901-050207-5,0,0,0,,0,0
6115,ARISTOBULO GOMEZ RUPEREZ S.A.,,30-60284606-3,VALLEJOS 4526/28,1419,CAPITAL,1,4501-0061 L.R. /4502-3481-/-4503-9161,ventas@aristobulo.com.ar,ARGENTINA,,IN,901-931693-1,0,0,0,,202,2
6116,EXPEDITORS ARGENTINA S.A.,,33-69440360-9,LIMA 355-PISO 1°-DTO.-A-,1073,CAPITAL FEDERAL,1,4384-0161/0162/0163,FAX: 4382-0952,ARGENTINA,,IN,901-901126-0,0,0,0,,202,2
6117,CRAFT MULTIMODAL,CRAFT ARGENTINA SA.,30-70860519-7,CARLOS PELLEGRINI 1135-PISO-7-,1009,CAPITAL FEDERAL,1,(54-11) 4328-9300*FAX:(54-11)4328-8543,,ARGENTINA,,IN,901-073106-4,0,0,0,,202,2
6118,METALCIDER S.R.L.,EQUIPAMIENTOS PARA OFICINAS,30-62437633-8,AV. CHICLANA 3790,1260,CAPITAL FEDERAL,1,TEL/FAX: 4925-0652-/-4923-5602,,ARGENTINA,,IN,901-063742-6,0,0,0,,0,0
6119,RODATECNICA S.A.,,30-59914668-3,DR.BENITO DE MIGUEL 531,0,JUNIN,2,(02362)420339/427871/432681/440130,rodatec@satlink.com.ar,ARGENTINA,rodatecnica@speedy.com.ar,IN,30-59914668-3,0,0,0,,0,0
6120,TRANSP.LA ANTARTIDA S.R.L.,,30-53134196-8,USPALLATA 2653,1437,PARQUE PATRICIOS,1,(011)4308-4624/FAX:(011)4308-4997,,ARGENTINA,,IN,30-53134196-8,0,0,0,,202,2
6121,CAÑOS CORDOBA S.R.L.,,30-56277735-7,MENDOZA 1447,5000,CORDOBA,4,(0351) 472-2616,canoscba@speedy.com.ar,ARGENTINA,,IN,904-2380515-4,0,0,0,,202,2
6122,AGUGEL,ALBERTO GUGELMEIER,20-92530562-7,FLORIDA 537-LOCAL 431/433,1005,CAPITAL FEDERAL,1,,www.gugel-meier.com.ar,ARGENTINA,,IN,016735-08,0,0,0,,202,2
6123,MANUFACTURA DE RETENES INDUST.,,33-57632276-9,AVDA. RIVADAVIA 10707/9,1408,CAPITAL FEDERAL,1,4641-5827-TELEFAX:4642-6182,mri_retenes@ciudad.com.ar,ARGENTINA,,IN,173675-02,0,0,0,,0,0
6124,ONYX KTK Ltd.,,,205 A. STAMBOLIJSKISTR.,0,NIPRORUDA BUILDING,25,NRO CTA. 1409004913,,SOFIA.-BULGARIA,,XE,,0,0,0,,202,2
6125,INDEXPORT MESSE FRANKFURT S.A.,,30-63888317-8,IBERA 3143,1429,BUENOS AIRES,1,54 11 4543-1000/FAX 54 11 4542-6469,info@indexport.com.ar,ARGENTINA,,IN,901-49869-7,0,0,0,,202,2
6126,ALTAMIRA ENRIQUE MARIO,,20-07990143-2,DEAN FUNES 3385,5003,CORDOBA,4,(0351) 480-1424 /488-1009,,ARGENTINA,,IN,25062120-5,0,0,0,,0,0
6127,LINEARTEC S.R.L.,,30-70833760-5,AV.INDEPENDENCIA 2263/65,1225,CAPITAL FEDERAL,1,54-11-4943-2120,info@lineartec.com.ar,ARGENTINA,,IN,901-214588-2,0,0,0,,202,2
6128,TOTTIS S.A.,,30-70835740-1,LISANDRO DE LA TORRE 2602,2170,CASILDA-,21,03464-422574-FAX: 03464-423608,TOTTIS@ARNETBIZ.COM.AR,ARGENTINA,WWW.TOTTISRODAMIENTOS.COM.AR,IN,921-717618-3,0,0,0,,0,0
6129,S.A. DEFONTAINE,44803-SAINT HERBLAIN CEDEX,,3; rue Louis Renault,0,NANTES-FRANCIA,25,,,FRANCIA,,XE,,0,0,0,,202,2
6130,FROHLICH & DORKEN GmbH,45549 SPROCKHOREL,,STEFANABECKE 44-HABLINGHAUSEN,0,ALEMANIA,25,http://www.fud.de,VK@fude,DEUTSCHE,,XE,,0,0,0,,202,2
6131,DASH DEPORTES,,30-65376481-9,PANAMERICANA 535,1640,MARTINEZ,2,,,ARGENTINA,,NI,902-427249-3,0,0,0,,202,2
6132,NBC GROUP LTD,ORLETON LANE WELLINGTON,,TELFORD TF1 2BG;SHROPSHIRE,0,UNITED KINGDOM,25,Account name:NBC Group Ltd.N° 0107737,E-mail:exports@nbcgroup.co.uk,ENGLAND,Web: www.nbcgroup.co.uk,XE,,0,0,0,,202,2
6133,JIANGSU RONG TIANLE MACHINERY,Co.ltd.,,N°81 WUMING SOUTH RD;HUTANG,0,TOWN;WUJIN;CHANGZHOU;JIANGSU,25,,,CHINA,,XE,,0,0,0,,202,2
6134,SDM SALVADOR A. DI MATTEO,,20-04378470-7,AV.DONATO ALVAREZ 284,1406,CIUDAD AUTONOMA DE BS.AIRES,1,TEL/FAX: 4631-7457/4633-2666,,ARGENTINA,,IN,1136029-01,0,0,0,,0,0
6135,FAST OIL S.A.,ESTACION DE SERVICIO SHELL,30-70208832-8,AVDA.SAN MARTIN 2401,1416,CAPITAL FEDERAL,1,,,ARGENTINA,,IN,1007683-02,0,0,0,,202,2
6136,ENER-LUZ S.R.L.,,30-64950934-0,AV. LIBERTADOR 1050,5000,ALTA GRACIA,4,03547-421390,,ARGENTINA,,IN,250-43924-5,0,0,0,,202,2
6137,RICHETTA Y CIA. S.A.,MATERIALES ELECTRICOS,30-57613383-5,AV. A. SABATTINI 4222,5006,CORDOBA CAPITAL,4,0351-4579580 AL 84,,ARGENTINA,,IN,904-2313852-2,0,0,0,,0,0
6138,PLATENSE BEARING S.R.L.,,30-70864796-5,DEFENSA 1287,1143,CDAD.AUTONOMA DE BUENOS AIRES,1,TEL/FAX:(011)4300-1939-*-4362-8932,platensebearing@yahoo.com,ARGENTINA,,IN,901-074563-3,256520,0,0,,202,2
6139,AUTOT.SAN JUAN MAR DEL PLATA,,30-61322839-6,TERMINAL OMNIBUS-LOCAL 33,5730,V.MERCEDES,2,02657-435909,,ARGENTINA,,IN,918-651400-8,0,0,0,,202,2
6140,MANIFESTO,,27-93650432-4,HUMBOLDT 2160,1425,CAPITAL FEDERAL,1,4773-1500-/-FAX: 4773-1222,,ARGENTINA,,IN,1055852-07,0,0,0,,202,2
6141,R.P.M. S.R.L.,,30-62702780-6,AV.BELGRANO 948,1092,CAPITAL FEDERAL,1,TEL/FAX: 4334-2060,,ARGENTINA,,IN,901-940663-0,0,0,0,,0,0
6142,RODASTAR,DE IVAN ISAR,20-93689724-0,LEBENSOHN 19 E/PUEYRREDON Y,1876,LAS HERAS//BERNAL,2,4250-8667-Cel: 15-54028945,,ARGENTINA,,IN,902-819122-3,0,0,0,,0,0
6143,AUTOELEVADORES ALCORTA S.R.L.,,30-67922088-4,AV.AMANCIO ALCORTA 3165,1437,CAPITAL FEDERAL,1,4911-0970-/-FAX: 4912-0177,,ARGENTINA,,IN,955647-08,0,0,0,,0,0
6144,HOTEL VERSAILLES-(MDQ),,30-54927717-5,AVENIDA LURO 2426,7600,MAR DEL PLATA,2,54-0223-4953981,,ARGENTINA,,IN,30-54927717-5,0,0,0,,0,0
6145,INTEGRAL RODAMIENTOS S.R.L.,,30-70842675-6,11 DE SEPTIEMBRE 6018,1653,VILLA BALLESTER,2,4729-3097-*-CEL:15-54202729,,ARGENTINA,,IN,902-812416-1,131648,0,0,,202,2
6146,FAX SERVICIOS GRAFICOS INTEGR.,,30-70812527-6,SAN MARTIN 623,1004,CAPITAL FEDERAL,1,4314-5849,faxprinter@uolsinectis.com.ar,ARGENTINA,,IN,1088941-08,0,0,0,,202,2
6147,JUMBO RETAIL ARGENTINA S.A.,,30-70877296-4,AV.FCO.F.DE LA CRUZ 4602,1439,CAPITAL FEDERAL,1,4630-4200/4217,,ARGENTINA,,IN,901-076757-4,0,0,0,,202,2
6148,RODA-BELL,,20-20569422-7,ECHEVERRIA 1014,1661,BELLA VISTA,1,4666-1905-/-4668-3400,rodabell@hotmail.com,ARGENTINA,,IN,902-796309-7,170187,0,0,,202,2
6149,R.BONANNO CONCESIONARIO PEUGEO,.,30-70839542-7,AV.MONTES DE OCA 1102,1270,CAPITAL FEDERAL,1,0054(11)4303-3400,,ARGENTINA,,IN,1108426-10,0,0,0,,202,2
6150,FERELECTRIC,FERRETERIA-ELECTRICIDAD,20-06498895-7,,0,MENDOZA,13,4872185,,ARGENTINA,,IN,2506041106,0,0,0,,202,2
6151,FERROCONS S.A.,,30-54773266-5,HERIBERTO MARTINEZ 6089,0,ARGUELLO,4,(03543) 449191/2,,ARGENTINA,,IN,904-237078-5,0,0,0,,0,0
6152,LUZ ELECTRICA,,27-16099562-4,AV.RECTA MARTINOLI 7178,0,CORDOBA,4,03543-420325,,ARGENTINA,,IN,27-022004-5,0,0,0,,202,2
6153,MARITIME SERVICES LINE ARG.SA.,,30-68266220-0,AV.BELGRANO 355-9° PISO,1092,CIUDAD DE BUENOS AIRES,1,(5411) 5129-7000/FAX: (5411)-5129-7001,,ARGENTINA,,IN,901-178256-9,0,0,0,,0,0
6154,SALFAVEL COMERCIAL S.A.,DE JOAQUIN OJEDA,,MATILDE SALAMANCA 472,0,CASILLA 13950-PROVIDENCIA,25,(02)236-9110/0056,salfavel@ctcreuna.cl,CHILE,,XE,,0,0,0,,202,2
6155,ESTUDIO ADUANERO Y ASESORAMIEN,TO AL COMERCIO INTERNACIONAL,30-70721123-3,PERU 708-2° PISO-DTO.5,5500,CAPITAL-SAN RAFAEL,13,TEL/FAX: (0261) 4290789/4290791,,ARGENTINA,,IN,460406,0,0,0,,202,2
6156,DEPOSITO FISCAL BUENOS AIRES,S.A.,30-65651522-4,IRALA 100,1163,CAPITAL,1,4016-1600-/-FAX: 4016-1616,,ARGENTINA,,IN,863994-09,0,0,0,,202,2
6157,LA CAMIONERA MENDOCINA S.R.L.,,33-53112259-9,MORENO 2933,0,CAPITAL FEDERAL,1,4931-7471,camionerab@infovia.com.ar,ARGENTINA,,IN,913-500170-3,0,0,0,,0,0
6158,HIERROCENTRO,PALADINO RICARDO PEDRO,20-08311607-3,AVDA. COBO 1858,1454,CDAD.AUTONOMA DE BUENOS AIRES,1,4923-1201,,ARGENTINA,,IN,901-022432-5,0,0,0,,202,2
6159,TECNOPEG-JUAN GOMEZ SELLADOS,NELIDA C. BAHIA Y GABRIELA BAH,30-70884291-1,CRESPO 3331,1437,CDAD.AUTONOMA DE BUENOS AIRES,1,4918-0322-/-4919-9335-/-4919-4777 L.R.,juangomezsellados@gmail.com,ARGENTINA,,IN,902-821877-3,435455,0,0,,202,2
6160,GEFCO ARGENTINA S.A.,,30-70495713-7,AV.M.DE JUSTO 1930-3P.OF.315,1107,PUERO MADERO; DOCK 15,1,54(11)4000-6080*FAX:54(11)4508-6081,,ARGENTINA,,IN,901-036644-1,0,0,0,,202,2
6161,HANDLING & SERVICES S.R.L.,,30-70800412-6,PARAGUAY 390-2° PISO,1057,CDAD.AUTONOMA DE BUENOS AIRES,1,(54-11) 5555-9550-FAX:(54-11)5555-9556,http://www.e-bawc.com,ARGENTINA,,IN,1080594-10,0,0,0,,202,2
6162,APART ARTEN VILLAGE,,30-70101414-2,SUIPACHA 250,1008,CDAD.AUTONOMA DE BUENOS AIRES,1,4326-8737/7879/0163/2968/2904,,ARGENTINA,,IN,100-1309-01,0,0,0,,0,0
6163,PUNTO TURISTICO S.A.,,30-69847925-2,AVDA.COLON 540,5000,CORDOBA,4,54-0351-4233777,,ARGENTINA,,IN,270086691,0,0,0,,0,0
6164,METALURGICA LARRAUDE S.A.,,30-70738288-7,AV.DEL BARCO CENTENERA 2946,1437,CDAD.AUTONOMA DE BUENOS AIRES,1,4919-7777 L.R.,,ARGENTINA,,IN,901-076255-1,0,0,0,,0,0
6165,CAMPAMENTO BASE,ARTICULOS CAMPING-ARMERIA-ACC.,33-69374764-9,PARANA 141,1017,CDAD.AUTONOMA DE BUENOS AIRES,1,TEL/FAX: 4374-5306,,ARGENTINA,,IN,036749-04,0,0,0,,202,2
6166,IMAGIC IMAGECENTER,,30-70827313-5,AVDA.RIVADAVIA 5710,1406,CDAD.AUTONOMA DE BUENOS AIRES,1,4431-2657,,ARGENTINA,,IN,901-866915-1,0,0,0,,0,0
6167,FOTODIMENSION,MARIO PERUZZI-FOTOGRAFO,20-17501547-8,AV.RIVADAVIA 2890-P.3-DTO.207,0,CDAD.AUTONOMA DE BUENOS AIRES,1,4931-6945-/-15-40706022,,ARGENTINA,,MT,18937-05,0,0,0,,0,0
6168,CELTRIX S.A.,,30-70723636-8,ARCOS 2811-P.9-DTO.A.,1429,CDAD.AUTONOMA DE BUENOS AIRES,1,4773-3341,,ARGENTINA,,IN,901-043563-0,0,0,0,,0,0
6169,TRANSP.ORCA S.R.L.,,30-70841026-4,ESMERALDA 1029,1007,CIUDAD AUTONOMA DE BS. AS.,1,4300-4795 / FAX 4361-2557,,ARGENTINA,,IN,1109472-09,0,0,0,,202,2
6170,AGOSTINI DISTRIBUIDORA,DE LUCIANA AGOSTINI,27-14456153-3,BALCARCE 1322,1153,CIUDAD AUTONOMA DE BS AS,1,4361-1936,,ARGENTINA,,IN,902-796547-6,0,0,0,,202,2
6171,CORPORACION TREBOL S.R.L.,,30-70886952-6,FLORIDA 537-1°SUBSUELO-LOC.280,1005,CDAD.AUTONOMA DE BUENOS AIRES,1,,,ARGENTINA,,IN,114531401,0,0,0,,202,2
6172,LIFE COMPUTERS S.R.L.,,30-70879401-1,FLORIDA 537-1°PISO-LOCAL 438,0,CDAD.AUTONOMA DE BUENOS AIRES,1,4393-5973,uzumel@speedy.com.ar,ARGENTINA,,IN,1139586-09,0,0,0,,202,2
6173,ESCALA DISEÑO,,30-70045512-9,ARENALES 1158,1061,CDAD.AUTONOMA DE BUENOS AIRES,1,TEL/FAX: (5411) 4812-1893,info@escaladisenio.com.ar,ARGENTINA,www.escaladisenio.com.ar,IN,075849-03,0,0,0,,0,0
6174,LE PARC. S.R.L.,,30-70236891-6,AV.SOLDATI 330,0,SAN MIGUEL DE TUCUMAN,24,,,ARGENTINA,,IN,381043,0,0,0,,0,0
6175,LIBERTADOR NEUMATICOS,,20-28698775-4,AVDA.VELEZ SARFIELD 3166,0,CORDOBA,4,,,ARGENTINA,,IN,270-22375-3,0,0,0,,202,2
6176,MOCONA S.R.L.,,30-66819679-5,RUTA PROV.5-KM.4,0,CORDOBA,4,0351-4939501/4939502/4948100,,ARGENTINA,,IN,250-71376-3,0,0,0,,202,2
6177,YUNGAS SRL.POSADA DEL SOL,,30-70793730-7,LOS CEIBOS Y PUCARA-B°LA LOMA,0,LIBERTADOR GRAL. SAN MARTIN,10,03886-424900,posadadelsol@cooperlib.com.ar,ARGENTINA,,IN,E-1-5127,0,0,0,,202,2
6178,EXPRESO TROLE S.R.L.,,30-57774457-9,TROLE 267,1437,CDAD.AUTONOMA DE BUENOS AIRES,1,4923-1425/8292/4834,expresotrole@ciudad.com.ar,ARGENTINA,,IN,901-937637-7,0,0,0,,0,0
6179,ACCESORIOS PARQUE PATRICIOS SR,,30-62318514-8,AVDA.CASEROS 3507/9,1263,CDAD.AUTONOMA DE BUENOS AIRES,1,4923-8631-/-4922-7431-/-FAX: 4923-1094,accesoriospatricios@speedy.com.ar,ARGENTINA,,IN,865372.03,0,0,0,,0,0
6180,RODAPAL RODAMIENTOS S.R.L.,,30-61305669-2,E. SANTAMARINA 596,1842,MONTE GRANDE,2,4290-4705/6102/-/4296-7751,rodapal@uol.com.ar,ARGENTINA,,IN,30-61305669-2,0,0,0,,202,2
6181,AJ ELECTRICIDAD ILUMINACION,,30-70800995-0,ALVEAR 785,5000,CORDOBA,4,(0351)426-0666,electricidad@aj.com.ar,ARGENTINA,,IN,270-313710,0,0,0,,202,2
6182,CASA ROMERO SOC COL,,30-61696853-6,RIVADAVIA 492,5000,CORDOBA,4,,,ARGENTINA,,IN,200464427,0,0,0,,202,2
6183,GEARVEL S.A.I.C.,,30-57004406-7,GENERAL HORNOS 1548,1272,CAPITAL FEDERAL,1,4302-8963/8764/8637,gearvel@gearvel.com.ar,ARGENTINA,website: www.gearvel.com.ar,IN,901-923221-5,0,0,0,,202,2
6184,PINTURERIAS GARIN,,20-06482552-7,RIVADAVIA 421,5000,CORDOBA,4,4271515/4271717,garin@arnet.com.ar,ARGENTINA,,IN,200-90912-7,0,0,0,,202,2
6185,PRINTERS SOLUCIONES INFORMATIC,,27-14838775-9,LIMA 138,5000,CORDOBA,4,(0351)4248329/4212175,,ARGENTINA,,IN,904-237047-1,0,0,0,,202,2
6186,RIELES Y COSAS S.R.L.,,30-70800456-8,RIVADAVIA 338,5000,CORDOBA,4,(0351)429-0488,,ARGENTINA,,IN,901-059399-1,0,0,0,,202,2
6187,SAVOY HOTEL OLAVARRIA,,30-52608887-1,MORENO 2882,7400,OLAVARRIA,2,(02284)440500/414141,www.savoy-hotel.net,ARGENTINA,,IN,30-52608887-1,0,0,0,,202,2
6188,PINTURERIA SZUMIK S.A.,,30-51767659-0,RIVADAVIA 351,5000,CORDOBA,4,0810-888-7986,szumik@arnet.com.ar,ARGENTINA,www.pintureriasszumik.com.ar,IN,200-664248,0,0,0,,202,2
6189,TRANSP.VERSA S.A.,,30-70747568-0,JOSE MARTI 3455,0,CDAD.AUTONOMA DE BUENOS AIRES,1,(011) 4918-6040,,ARGENTINA,,IN,901-996213-7,0,0,0,,0,0
6190,PAUNY S.A.,,30-61885563-1,MAIPU Y RECONQUISTA,5940,LAS VARILLAS,4,,,ARGENTINA,,IN,901-057051-2,0,0,0,,0,0
6191,L & G S.R.L.,,30-70874621-1,,0,,4,,,ARGENTINA,,IN,270-422586,0,0,0,,0,0
6192,EXPRESO RIVADAVIA S.R.L.,,30-62600961-8,DIAGONAL L.DE LA TORRE S/N°.,4000,SAN MIGUEL DE TUCUMAN,24,(0381)427-6388/89/309/427-7294,tucuman@exprivadavia.com.ar,ARGENTINA,,IN,924-830329-0,0,0,0,,0,0
6193,RULEMANES MUNRO S.C.A.,,30-54203134-0,AVENIDA MITRE 2996,1605,MUNRO,2,4762-3561/2766/4195-/-FAX:4756-1874,rulmunro@ciudad.com.ar,ARGENTINA,,IN,30-54203134-0,0,0,0,,202,2
6194,CARGAS AEREAS Y TERRESTRES TOD,ALICIA NOEMI MEITES,27-05178119-3,AVDA. JUJUY 1693,1247,CDAD.AUTONOMA DE BUENOS AIRES,1,4308-0130,www.cargasyencomiendas.com.ar,ARGENTINA,,IN,799085-05,0,0,0,,0,0
6195,E-BUYPLACE,,30-70776878-5,MONTEAGUDO 146,1437,CDAD. AUTONOMA DE BUENOS AIRES,1,TEL/FAX: (5411) 0800-345-3289,,ARGENTINA,info@e-buyplace.com,IN,901-054768-2,0,0,0,,202,2
6196,HORNES E HIJOS S.A.,,30-58133709-0,DR.NICOLAS REPETTO 2163,1416,CDAD.AUTONOMA DE BUENOS AIRES,1,TEL/FAX: 4582-5311/1660,hornes@hornesehijos.com.ar,ARGENTINA,www.hornesehijos.com.ar,IN,901-918310-4,0,0,0,,202,2
6197,ROBERTO HUGO DADAMO,,20-11002066-0,BOLIVAR 890-5° PISO-OF.K,1066,CDAD AUTONOMA DE BUENOS AIRES,1,4300-6215-/-4361-0209,,ARGENTINA,,IN,678905-06,0,0,0,,0,0
6198,VISA BUSINESS CARD,,30-57142135-2,,0,CDAD.AUTONOMA DE BUENOS AIRES,1,(011)4379-3330,,ARGENTINA,,IN,,0,0,0,,0,0
6199,CONFORT BELGRANO S.A.,,30-59719058-8,AV.BELGRANO 2801,0,CDAD. AUTONOMA DE BUENOS AIRES,1,,,ARGENTINA,,IN,596001-11,0,0,0,,0,0
6200,ERNESTO SANCHEZ Y CIA SAICFIA,,30-54745641-2,PADRE SILBERMAN 1274,1676,SANTOS LUGARES,2,4757-9959/9955,,ARGENTINA,,IN,902-870118-5,0,0,0,,0,0
6201,VINPAC LINES (BS.AS.) S.A.,,33-66199517-9,SARMIENTO 944- 4°PISO,1041,CDAD.AUTONOMA DE BUENOS AIRES,1,54-11-4328-2307 L.R.,general@vinpacba.com.ar,ARGENTINA,www.vinpacba.com.ar,IN,935996-06,0,0,0,,0,0
6202,TERBASA-TERMINAL BUENOS AIRES,,30-65733882-2,AV.EDISON Y CALLE 8-DARSENA D,1104,CDAD.AUTONOMA DE BUENOS AIRES,1,4315-8850-*-TEL/FAX: 4315-8852,,ARGENTINA,,IN,901-156479-1,0,0,0,,0,0
6203,FERRETERIA GUEMES,MAQUINAS;HERRAM.CAMPING PESCA,30-62472687-8,SAN MARTIN 170-LOCAL 9,1004,CDAD AUTONOMA DE BUENOS AIRES,1,TEL/FAX: 4331-5770/9843,,ARGENTINA,,IN,729033-11,0,0,0,,0,0
6204,FLEMING S.R.L.,CONFORT EXPRESS,33-56215757-9,AV.BOEDO 1031/35,1239,CDAD.AUTONOMA DE BUENOS AIRES,1,4957-8315,,ARGENTINA,,IN,901-927468-7,0,0,0,,0,0
6205,NOMO KULLAGER,,,EFTERKRAV/POSTFORSKOTT,0,,25,,,SUECIA,,XE,,0,0,0,,202,2
6206,CARAFFA CONSTRUCCIONES,,30-62941365-7,F.L.BELTRAN Y CARDEÑOSA L.276,5000,CORDOBA,4,,,ARGENTINA,,IN,200908333,0,0,0,,0,0
6207,BP INSTALACIONES S.A.,,30-65755378-2,COLOMBRES 148-7° E,1177,CDAD AUTONOMA DE BUENOS AIRES,1,4865-7030/3440/3640,,ARGENTINA,,IN,901-186600-1,0,0,0,,0,0
6208,SUZUKI MONICA S.R.L.,,30-70819852-4,MONTEVIDEO 583,1019,CDAD AUTONOMA DE BUENOS AIRES,1,4373-4645/8380,,ARGENTINA,,IN,901-064011-8,0,0,0,,202,2
6210,TECMA,JAVIER MARINO,20-12472479-2,HEREDIA 230/240,1427,CDAD AUTONOMA DE BUENOS AIRES,1,(54-11) 4555-1996/3001,info@tecmamet.com.ar,ARGENTINA,www.tecmamet.com.ar,IN,901-900501-8,0,0,0,,202,2
6211,HOTEL CAMPOALEGRE S.A.,,30-67940190-0,RUTA 34 KM.224,2300,RAFAELA,21,TEL/FAX:03492-440694/441600/441800,hotel@campoalegre.com.ar,ARGENTINA,www.campoalegre.com.ar,IN,902-420093-5,0,0,0,,0,0
6212,QUITOLO,ESPINOSA CAROLINA,27-24595011-5,,0,CDAD AUTONOMA DE BUENOS AIRES,1,,,ARGENTINA,,IN,27-24595011-5,0,0,0,,202,2
6213,YLUM S.A.,,30-70841548-7,FAMATINA 3933,1437,CDAD AUTONOMA DE BUENOS AIRES,1,4911-6641-/-FAX: 4912-2352,ylumsa@ylumsa.com.ar,ARGENTINA,,IN,901-070959-5,0,0,0,,202,2
6214,CRESATA S.A.-CASCALITE,,30-61583955-4,ZAPIOLA 2148,1883,BERNAL OESTE,2,4251-1112/4252-9871,,ARGENTINA,,IN,919-680745-1,0,0,0,,0,0
6215,INK PAPER S.A.,,30-70802739-8,NICOLAS REPETTO 1123,1416,CDAD AUTONOMA DE BUENOS AIRES,1,(54-11) 4584-5500,info@inkpaper.com.ar,ARGENTINA,www.inkpaper.com.ar,IN,902-793584-5,0,0,0,,202,2
6216,DISTRIBUIDORA LEQUIPE SRL.,,30-70945411-7,AV.FEDERICO LACROZE 3396,1426,CDAD AUTONOMA DE BUENOS AIRES,1,4556-1666,ventas@lequipeonline.com.ar,ARGENTINA,www.lequipeonline.com.ar,IN,1163971-07,0,0,0,,202,2
6217,S.M. ARGENTINA,FACUNDO ENRIQUE SANTOS,20-22689902-3,DON BOSCO 1624,1642,SAN ISIDRO,2,4723-1534,smargentina@hotmail.com,ARGENTINA,,IN,902-8264555,0,0,0,,0,0
6218,ABX LOGISTICS ARGENTINA S.A.,,30-70757811-0,AV.PTE.JULIO A. ROCA 781-P.3,1067,CDAD AUTONOMA DE BUENOS AIRES,1,(011) 4343-2738-FAX:(011) 4334-3200,abx@abxargentina.com.ar,ARGENTINA,,IN,1053619-01,0,0,0,,202,2
6219,INSUMA SUR S.A.,,33-68972600-9,AV.MONTEVERDE 3325,1852,BURZACO,2,4299-2859/2376,,ARGENTINA,,IN,901-900494-8,0,0,0,,202,2
6220,MALLAS S.A.,,30-70854738-3,SUIPACHA 1631,1870,AVELLANEDA,2,4246-3700/3719/3680,,ARGENTINA,,IN,901-071766-7,0,0,0,,202,2
6221,TECNOPLAST ARGENTINA SRL,,30-70729050-8,12 DE OCTUBRE 1644,1416,CDAD AUTONOMA DE BUENOS AIRES,1,4585-4499 L.R.,,ARGENTINA,,IN,901-045173-8,0,0,0,,202,2
6222,NBC GROUP LTD,,,ORLETON LANE;WELLINGTON;,0,TELFORD;TF1 2BG;SHROPSHIRE,25,44(0)1952 245454/FAX:44(0)952 242070,exports@nbcgroup.co.uk,ENGLAND,www.nbcgroup.co.uk,XE,,0,0,0,,202,2
6223,ACCINSUR S.A.,,30-70811936-5,AV.CNEL.NICETO VEGA 5598,1414,CDAD AUTONOMA DE BUENOS AIRES,1,(011)4777-7077 L.R./FAX:(011)4775-3041,accinsur@accinsa.com,ARGENTINA,,IN,901-062095-6,0,0,0,,202,2
6224,DISCO S.A.,,30-53707910-6,AV.DIRECTORIO 1251,0,CDAD AUTONOMA DE BUENOS AIRES,1,,,ARGENTINA,,IN,901-912228-7,0,0,0,,0,0
6225,ALFREDO PUGLIESE S.R.L.,,33-59302621-9,SANTO TOME 3972,1417,CDAD AUTONOMA DE BUENOS AIRES,1,4566-0690/FAX:4567-8625,,ARGENTINA,,IN,901-928552-0,0,0,0,,202,2
6226,ARON RABE E HIJOS S.A.,,30-53976222-9,RIVADAVIA 24598,0,SAN ANTONIO DE PADUA,2,,,ARGENTINA,,IN,902-880410-5,0,0,0,,202,2
6227,OXIPEN S.R.L.,,30-70878327-3,BRIG.JUAN MANUEL ROSAS 4441,1754,SAN JUSTO,2,4441-2090/6293,,ARGENTINA,,IN,30-70878327-3,0,0,0,,202,2
6228,RAPACO S.R.L.,,30-70802801-7,CALLE 30 N°2426 E/507 Y 508,0,HERNANDEZ,2,(0221)484-6716/484-4101,,ARGENTINA,,IN,30-70802801-7,0,0,0,,202,2
6229,TRANSP.EL RUTERO S.A.,,30-54751039-5,MONTEAGUDO 827,1437,CDAD AUTONOMA DE BUENOS AIRES,1,4911-3185/FAX: 4911-3673,elrutero@infovia.com.ar,ARGENTINA,,IN,921-741166-7,0,0,0,,202,2
